SDS 2.4	AQ Results	1.0
Filename	juuni2
PlateID	
Assay Type	Absolute Quantification
Run DateTime	6/2/13 8:51:19 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
148	G4	SYBR	SYBR	Unknown	20.29886	83.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
149	G5	SYBR	SYBR	Unknown	20.577868	83.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
150	G6	SYBR	SYBR	Unknown	20.777689	83.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
151	G7	SYBR	SYBR	Unknown	30.345682	84.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565								true					
152	G8	SYBR	SYBR	Unknown	22.338415	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
153	G9	SYBR	SYBR	Unknown	23.798346	83.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
154	G10	SYBR	SYBR	Unknown	23.752838	82.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
155	G11	SYBR	SYBR	Unknown	24.40342	84.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
156	G12	SYBR	SYBR	Unknown	24.10341	83.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
157	G13	SYBR	SYBR	Unknown	27.006668	82.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
158	G14	SYBR	SYBR	Unknown	27.928602	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
159	G15	SYBR	SYBR	Unknown	25.41452	84.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
160	G16	SYBR	SYBR	Unknown	Undetermined	85.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565						true			true				
161	G17	SYBR	SYBR	Unknown	26.526966	83.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
162	G18	SYBR	SYBR	Unknown	26.95474	83.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
169	H1	SYBR	SYBR	Unknown	20.981537	86.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
170	H2	SYBR	SYBR	Unknown	21.59657	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
171	H3	SYBR	SYBR	Unknown	21.171436	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
172	H4	SYBR	SYBR	Unknown	21.276834	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
173	H5	SYBR	SYBR	Unknown	20.901186	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
174	H6	SYBR	SYBR	Unknown	21.458633	85.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
175	H7	SYBR	SYBR	Unknown	21.7028	85.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
176	H8	SYBR	SYBR	Unknown	20.98485	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
177	H9	SYBR	SYBR	Unknown	Undetermined	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565							true						
178	H10	SYBR	SYBR	Unknown	25.769924	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
179	H11	SYBR	SYBR	Unknown	23.260893	85.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
180	H12	SYBR	SYBR	Unknown	21.870972	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
181	H13	SYBR	SYBR	Unknown	27.36334	85.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
182	H14	SYBR	SYBR	Unknown	25.160227	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
183	H15	SYBR	SYBR	Unknown	35.621696	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
184	H16	SYBR	SYBR	Unknown	25.916782	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
185	H17	SYBR	SYBR	Unknown	26.496485	85.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
186	H18	SYBR	SYBR	Unknown	32.795662	85.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565						true							
193	I1	SYBR	SYBR	Unknown	17.254871	84.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
194	I2	SYBR	SYBR	Unknown	17.938816	84.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
195	I3	SYBR	SYBR	Unknown	17.570477	84.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
196	I4	SYBR	SYBR	Unknown	19.074507	84.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
197	I5	SYBR	SYBR	Unknown	20.362028	84.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
198	I6	SYBR	SYBR	Unknown	19.703712	84.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
199	I7	SYBR	SYBR	Unknown	22.686584	84.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
200	I8	SYBR	SYBR	Unknown	23.330824	84.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
201	I9	SYBR	SYBR	Unknown	24.150585	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
202	I10	SYBR	SYBR	Unknown	19.91862	73.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
203	I11	SYBR	SYBR	Unknown	24.457174	84.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
204	I12	SYBR	SYBR	Unknown	23.490025	84.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
205	I13	SYBR	SYBR	Unknown	Undetermined	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565							true	true				true	
206	I14	SYBR	SYBR	Unknown	30.235163	83.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
207	I15	SYBR	SYBR	Unknown	Undetermined	83.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565						true			true				
208	I16	SYBR	SYBR	Unknown	34.51839	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565					true	true							
209	I17	SYBR	SYBR	Unknown	29.285782	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565					true								
210	I18	SYBR	SYBR	Unknown	27.934483	83.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
217	J1	SYBR	SYBR	Unknown	20.90905	86.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
218	J2	SYBR	SYBR	Unknown	21.23092	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
219	J3	SYBR	SYBR	Unknown	20.674427	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
220	J4	SYBR	SYBR	Unknown	20.874733	86.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
221	J5	SYBR	SYBR	Unknown	21.193604	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
222	J6	SYBR	SYBR	Unknown	20.912271	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
223	J7	SYBR	SYBR	Unknown	21.638893	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
224	J8	SYBR	SYBR	Unknown	21.66421	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
225	J9	SYBR	SYBR	Unknown	21.346365	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
226	J10	SYBR	SYBR	Unknown	22.754217	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
227	J11	SYBR	SYBR	Unknown	21.614748	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
228	J12	SYBR	SYBR	Unknown	21.536171	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
229	J13	SYBR	SYBR	Unknown	27.458181	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
230	J14	SYBR	SYBR	Unknown	28.405823	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
231	J15	SYBR	SYBR	Unknown	27.608572	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
232	J16	SYBR	SYBR	Unknown	28.691864	85.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
233	J17	SYBR	SYBR	Unknown	26.998333	86.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
234	J18	SYBR	SYBR	Unknown	29.08657	85.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
241	K1	SYBR	SYBR	Unknown	34.593903	84.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
242	K2	SYBR	SYBR	Unknown	36.304703	91.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
243	K3	SYBR	SYBR	Unknown	32.684032	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565						true							
244	K4	SYBR	SYBR	Unknown	17.979067	84.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
